date,close_raw,total_mv,total_shares,pe_ttm,pe_static
2021-08-09,300.99,74519178243.54,247580246,170.16634364,234.26024444
2021-08-10,284.21,70364781715.66,247580246,160.67967881,221.20038564
2021-08-11,276.9,68554970117.4,247580246,156.54693031,215.51101926
2021-08-12,271.7,67267552838.2,247580246,153.60708185,211.46386397
2021-08-13,253.88,62855672854.48,247580246,143.53244734,197.5945741
2021-08-16,257.8,63826187418.8,247580246,145.74864079,200.64550655
2021-08-17,262.35,64952677538.1,247580246,148.32100819,204.18676743
2021-08-18,250.59,62041133845.14,247580246,141.67242783,195.03397008
2021-08-19,248.99,61645005451.54,247580246,140.76785908,193.78869153
2021-08-20,252.58,62533818534.68,247580246,142.79748522,196.58278528
2021-08-23,262.5,64989814575.0,247580246,148.40581151,204.3035123
2021-08-24,269.25,66660981235.5,247580246,152.22196095,209.55703118
2021-08-25,288.99,71548215291.54,247580246,163.38207797,224.92065531
2021-08-26,277.01,68582203944.46,247580246,156.60911941,215.59663216
2021-08-27,270.56,66985311357.76,247580246,152.96257662,210.576603
2021-08-30,287.57,71196651342.22,247580246,162.5792732,223.8154706
2021-08-31,275.0,68084567650.0,247580246,155.47275491,214.03225098
2021-09-01,245.87,60872555084.02,247580246,139.00395,191.36039836
2021-09-02,235.83,58386849414.18,247580246,133.32778106,183.54627545
2021-09-03,224.99,55703079547.54,247580246,127.19932774,175.10951326
2021-09-06,226.87,56168530410.02,247580246,128.26219603,176.57271556
2021-09-07,229.09,56718158556.14,247580246,129.51728517,178.30053955
2021-09-08,213.5,52858382521.0,247580246,120.70339336,166.16685667
2021-09-09,216.13,53509518567.98,247580246,122.19027825,168.21378329
2021-09-10,223.79,55405983252.34,247580246,126.52090117,174.17555435
2021-09-13,205.22,50808418084.12,247580246,116.02225005,159.72254017
2021-09-14,212.0,52487012152.0,247580246,119.85536015,164.99940803
2021-09-15,212.8,52685076348.8,247580246,120.30764453,165.6220473
2021-09-16,199.0,49268468954.0,247580246,112.50573901,154.8815198
2021-09-17,196.38,48619808709.48,247580246,111.02450767,152.84237617
2021-09-22,196.0,48525728216.0,247580246,110.80967259,152.54662252
2021-09-23,199.7,49441775126.2,247580246,112.90148784,155.42632916
2021-09-24,223.19,55257435104.74,247580246,126.18168789,173.70857489
2021-09-27,235.5,58305147933.0,247580246,133.14121375,183.28943675
2021-09-28,232.7,57611923244.2,247580246,131.55821843,181.11019928
2021-09-29,241.3,59741113359.8,247580246,136.42027549,187.80357149
2021-09-30,242.0,59914419532.0,247580246,136.81602432,188.34838086
2021-10-08,232.2,57488133121.2,247580246,131.27554069,180.72104973
2021-10-11,229.21,56747868185.66,247580246,129.58512783,178.39393544
2021-10-12,233.28,57755519786.88,247580246,131.8861246,181.56161276
2021-10-13,260.0,64370863960.0,247580246,146.99242283,202.35776456
2021-10-14,273.0,67589407158.0,247580246,154.34204397,212.47565279
2021-10-15,272.5,67465617035.0,247580246,154.05936623,212.08650324
2021-10-18,274.98,68079616045.08,247580246,155.4614478,214.016685
