date,close_raw,total_mv,total_shares,pe_ttm,pe_static
2024-08-07,19.07,85852713918.99,4501977657,20.51094148,6.3248376
2024-08-08,18.95,85312476600.15,4501977657,20.3818742,6.28503789
2024-08-09,18.67,84051922856.19,4501977657,20.08071722,6.19217189
2024-08-12,18.67,84051922856.19,4501977657,20.08071722,6.19217189
2024-08-13,18.57,83601725090.49,4501977657,19.97316116,6.15900546
2024-08-14,18.87,84952318387.59,4501977657,20.29582935,6.25850475
2024-08-15,19.8,89139157608.6,4501977657,21.29610075,6.56695251
2024-08-16,19.18,86347931461.26,4501977657,20.62925315,6.36132067
2024-08-19,18.93,85222437047.01,4501977657,20.36036299,6.2784046
2024-08-20,18.61,83781804196.77,4501977657,20.01618358,6.17227204
2024-08-21,18.75,84412081068.75,4501977657,20.16676207,6.21870503
2024-08-22,18.24,82116072463.68,4501977657,19.61822614,6.04955626
2024-08-23,18.32,82476230676.24,4501977657,19.704271,6.0760894
2024-08-26,18.19,81890973580.83,4501977657,19.56444811,6.03297304
2024-08-27,18.02,81125637379.14,4501977657,19.3816028,5.97659012
2024-08-28,18.04,81215676932.28,4501977657,19.40311401,5.9832234
2024-08-29,18.83,84772246888.63,4501978061,20.25280874,6.24523873
2024-08-30,19.01,85582602939.61,4501978061,20.44640967,6.30493831
2024-09-02,18.21,81981020490.81,4501978061,-29.01168095,6.03960687
2024-09-03,19.0,85537583691.0,4501978089,-30.27028784,6.3016217
2024-09-04,19.2,86437979308.8,4501978089,-30.58892245,6.36795456
2024-09-05,19.37,87203315583.93,4501978089,-30.85976186,6.4243375
2024-09-06,19.11,86032801280.79,4501978089,-30.44553687,6.33810478
2024-09-09,18.96,85357504567.44,4501978089,-30.20656092,6.28835513
2024-09-10,18.69,84141970483.41,4501978089,-29.77640419,6.19880577
2024-09-11,19.01,85582603471.89,4501978089,-30.28621957,6.30493835
2024-09-12,18.89,85042366101.21,4501978089,-30.0950388,6.26513863
2024-09-13,18.6,83736792455.4,4501978089,-29.63301862,6.16895598
2024-09-18,18.31,82431218809.59,4501978089,-29.17099844,6.07277334
2024-09-19,18.56,83556713331.84,4501978089,-29.5692917,6.15568941
2024-09-20,17.81,80180229765.09,4501978089,-28.37441192,5.90694119
2024-09-23,17.43,78469478091.27,4501978089,-27.76900616,5.78090875
2024-09-24,18.18,81845961658.02,4501978089,-28.96388594,6.02965698
2024-09-25,18.34,82566278152.26,4501978089,-29.21879363,6.08272327
2024-09-26,19.44,87518454050.16,4501978089,-30.97128398,6.447554
2024-09-27,20.76,93461065127.64,4501978089,-33.0742724,6.88535087
2024-09-30,22.83,102780162968.07,4501978229,-36.37214173,7.57189621
2024-10-08,24.38,109758229223.02,4501978229,-38.84156002,8.08597589
2024-10-09,21.94,98773402344.26,4501978229,-34.95421767,7.27671497
2024-10-10,21.53,96927591270.37,4501978229,-34.30101671,7.14073261
2024-10-11,20.63,92875810864.27,4501978229,-32.86716092,6.84223473
2024-10-14,20.92,94181384550.68,4501978229,-33.32918112,6.93841738
2024-10-15,20.85,93866246074.65,4501978229,-33.217659,6.91520088
2024-10-16,20.77,93506087816.33,4501978229,-33.09020515,6.88866773
2024-10-17,20.03,90174623926.87,4501978229,-31.91125707,6.64323614
2024-10-18,20.43,91975415218.47,4501978229,-32.5485263,6.77590186
2024-10-21,21.65,97467828657.85,4501978229,-34.49219748,7.18053232
2024-10-22,22.32,100484154071.28,4501978229,-35.55962345,7.40274741
2024-10-23,24.55,110523565521.95,4501978229,-39.11239945,8.14235882
2024-10-24,25.15,113224752459.35,4501978229,-40.0683033,8.34135741
2024-10-25,27.67,124569737596.43,4501978229,-44.0830995,9.17715147
2024-10-28,28.8,129656972995.2,4501978229,-45.8833851,9.55193214
2024-10-29,29.31,131952981891.99,4501978229,-46.69590337,9.72108094
2024-10-30,28.88,130017131253.52,4501978229,-46.01083894,9.57846529
2024-10-31,30.75,138435830541.75,4501978229,-20.65920471,10.19867755
2024-11-01,29.73,133843812748.17,4501978229,-19.97392377,9.86037995
2024-11-04,30.4,136860138161.6,4501978229,-20.42405929,10.08259504
2024-11-05,31.12,140101710679.92,4501982991,-20.90780912,10.32140426
2024-11-06,29.91,134654311260.81,4501982991,-20.09487696,9.92009002
2024-11-07,29.5,132808498234.5,4501982991,-19.8194206,9.78410751
2024-11-08,30.09,135464668199.19,4501982991,-20.21580901,9.97978966
2024-11-11,30.23,136094945817.93,4501982991,-20.30986728,10.02622271
2024-11-12,29.63,133393756023.33,4501982991,-19.90676042,9.82722392
2024-11-13,29.8,134159093131.8,4501982991,-20.02097403,9.88360691
2024-11-14,28.9,130107308439.9,4501982991,-19.41631374,9.58510871
2024-11-15,26.55,119527648411.05,4501982991,-17.83747854,8.80569676
2024-11-18,26.74,120383025179.34,4501982991,-17.96512905,8.86871305
2024-11-19,27.41,123399353783.31,4501982991,-18.41526504,9.09092837
2024-11-20,27.0,121553540757.0,4501982991,-18.13980869,8.95494586
2024-11-21,27.15,122228838205.65,4501982991,-18.2405854,9.00469556
2024-11-22,25.99,117006537936.09,4501982991,-17.46124547,8.61996455
2024-11-25,25.99,117006537936.09,4501982991,-17.46124547,8.61996455
2024-11-26,26.31,118447172493.21,4501982991,-17.6762358,8.72609724
2024-11-27,27.01,121598560586.91,4501982991,-18.14652713,8.9582625
2024-11-28,27.02,121643580416.82,4501982991,-18.15324558,8.96157915
2024-11-29,27.45,123579433102.95,4501982991,-18.44213883,9.10419495
2024-12-02,27.54,123984635256.54,4501983851,-18.50260839,9.13404652
2024-12-03,28.0,126055547828.0,4501983851,-18.81165705,9.28661229
2024-12-04,26.86,120923286237.86,4501983851,-18.04575387,8.90851451
