date,close_raw,total_mv,total_shares,pe_ttm,pe_static,pe_ex_post_ntm
2024-04-15,23.57,106111528452.78,4501974054,5.22778259,7.81732055,-11.997092297438412
2024-04-16,23.24,104625877014.96,4501974054,5.1545892,7.70787143,-11.829122825306268
2024-04-17,23.95,107822278593.3,4501974054,5.31206589,7.94335287,-12.190511689590581
2024-04-18,23.81,107192002225.74,4501974054,5.28101415,7.89691991,-12.11925191353452
2024-04-19,23.03,103680462463.62,4501974054,5.10801159,7.63822199,-11.722233161222173
2024-04-22,23.35,105121094160.9,4501974054,5.178987,7.74435447,-11.885112649350315
2024-04-23,22.89,103050186096.06,4501974054,5.07695985,7.59178903,-11.650973385166111
2024-04-24,21.88,98503192301.52,4501974054,4.85294371,7.25680839,-11.136885000761666
2024-04-25,21.25,95666948647.5,4501974054,4.71321087,7.04786006,-10.816216008509388
2024-04-26,21.68,97602797490.72,4501974054,4.80858407,7.19047558,-11.035085320681578
2024-04-29,22.49,101249396474.46,4501974054,4.98824058,7.45912343,-11.447374025005937
2024-04-30,21.7,97692836971.8,4501974054,23.33964729,7.19710886,-11.045265288689587
2024-05-06,22.02,99133468669.08,4501974054,23.68382642,7.30324135,-11.208144776817727
2024-05-07,22.38,100754179328.52,4501974054,24.07102794,7.42264039,-11.391384200961888
2024-05-08,22.3,100394021404.2,4501974054,23.98498316,7.39610727,-11.35066432892985
2024-05-09,22.79,102599988690.66,4501974054,24.51200746,7.55862263,-11.600073545126069
2024-05-10,22.59,101699593879.86,4501974054,24.2968955,7.49228983,-11.498273865045979
2024-05-13,22.88,103005166355.52,4501974054,24.60880784,7.58847239,-11.645883401162108
2024-05-14,22.57,101609554398.78,4501974054,24.2753843,7.48565655,-11.48809389703797
2024-05-15,22.26,100213942442.04,4501974054,23.94196077,7.38284071,-11.330304392913833
2024-05-16,22.25,100168922701.5,4501974054,23.93120517,7.37952407,-11.32521440890983
2024-05-17,21.9,98593231782.6,4501974054,23.55475925,7.26344167,-11.147064968769675
2024-05-20,21.84,98323113339.36,4501974054,23.49022566,7.24354183,-11.116525064745648
2024-05-21,21.45,96567343458.3,4501974054,23.07075735,7.11419286,-10.918015688589476
2024-05-22,23.4,105346192863.6,4501974054,25.16809892,7.76093767,-11.910562569370338
2024-05-23,22.88,103005166355.52,4501974054,24.60880784,7.58847239,-11.645883401162108
2024-05-24,22.76,102464929469.04,4501974054,24.47974066,7.54867271,-11.584803593114055
2024-05-27,22.31,100439041144.74,4501974054,23.99573876,7.39942391,-11.355754312933856
2024-05-28,21.98,98953389706.92,4501974054,23.64080403,7.28997479,-11.18778484080171
2024-05-29,23.0,103545403242.0,4501974054,24.73787501,7.62827207,-11.70696320921016
2024-05-30,23.54,105976469231.16,4501974054,25.31867729,7.80737063,-11.9818223454264
2024-05-31,23.01,103590422982.54,4501974054,24.74863061,7.63158871,-11.712053193214164
2024-06-03,23.08,103905561166.32,4501974054,24.82391979,7.65480519,-11.747683081242197
2024-06-04,23.07,103860541425.78,4501974054,24.8131642,7.65148855,-11.742593097238192
2024-06-05,22.79,102600068843.09,4501977571,24.5120266,7.55862853,-11.60008260725263
2024-06-06,22.14,99673783421.94,4501977571,23.8129122,7.34304676,-11.269233388528884
2024-06-07,21.78,98053071496.38,4501977571,23.42571038,7.22364763,-11.08599382123573
2024-06-11,21.98,98953467010.58,4501977571,23.6408225,7.28998048,-11.187793580843037
2024-06-12,21.88,98503269253.48,4501977571,23.53326644,7.25681405,-11.136893701039384
2024-06-13,21.63,97377774860.73,4501977571,23.26437628,7.17389799,-11.00964400153025
2024-06-14,20.97,94406469663.87,4501977571,22.55450627,6.95499958,-10.673704794826136
2024-06-17,20.88,94001291682.48,4501977571,22.45770581,6.92514979,-10.627894903002849
2024-06-18,20.84,93821212579.64,4501977571,22.41468339,6.91188322,-10.607534951081387
2024-06-19,20.55,92515639084.05,4501977571,22.10277081,6.81570059,-10.459925299650793
2024-06-20,20.32,91480184242.72,4501977571,21.85539187,6.73941781,-10.342855576102389
2024-06-21,20.92,94181370785.32,4501977571,22.50072824,6.93841636,-10.64825485492431
2024-06-24,20.36,91660263345.56,4501977571,21.89841429,6.75268438,-10.36321552802385
2024-06-25,19.69,88643938372.99,4501977571,21.17778867,6.53046932,-10.022186333339373
2024-06-26,19.89,89544333887.19,4501977571,21.3929008,6.59680217,-10.12398609294668
2024-06-27,19.45,87563463755.95,4501977571,20.91965412,6.4508699,-9.900026621810603
2024-06-28,19.11,86032791381.81,4501977571,20.55396351,6.33810405,-9.726967030478182
2024-07-01,18.84,84817257437.64,4501977571,20.26356214,6.2485547,-9.568004273141138
2024-07-02,18.28,82296149997.88,4501977571,19.66124819,6.06282271,-9.283604995383229
2024-07-03,17.92,80675438072.32,4501977571,19.27404637,5.94342358,-9.100776888253144
2024-07-04,17.38,78244370183.98,4501977571,18.69324363,5.76432488,-8.826534727558014
2024-07-05,17.68,79594963455.28,4501977571,19.01591182,5.86382415,-8.978891483499751
2024-07-08,16.73,75318084762.83,4501977571,17.99412923,5.5487431,-8.496428423017582
2024-07-09,16.42,73922471715.82,4501977571,17.66070543,5.44592718,-8.338993108544454
2024-07-10,16.78,75543183641.38,4501977571,18.04790726,5.56532632,-8.521821215674539
2024-07-11,17.25,77659113099.75,4501977571,18.55342075,5.72120852,-8.760513466649927
2024-07-12,17.37,78199350408.27,4501977571,18.68248803,5.76100823,-8.821456169026623
2024-07-15,17.51,78829627268.21,4501977571,18.83306651,5.80744123,-8.892555988466102
2024-07-16,18.08,81395754483.68,4501977571,19.44613607,5.99648986,-9.182033824755402
2024-07-17,18.06,81305714932.26,4501977571,19.42462486,5.98985657,-9.17187670769262
2024-07-18,17.98,80945556726.58,4501977571,19.33858001,5.96332343,-9.13124823944149
2024-07-19,18.31,82431209325.01,4501977571,19.69351501,6.07277264,-9.298840670977402
2024-07-22,18.45,83061486184.95,4501977571,19.8440935,6.11920564,-9.369940490416878
2024-07-23,17.99,80990576502.29,4501977571,19.34933561,5.96664007,-9.136326797972881
2024-07-24,17.5,78784607492.5,4501977571,18.82231091,5.80412459,-8.887477429934709
2024-07-25,17.68,79594963455.28,4501977571,19.01591182,5.86382415,-8.978891483499751
2024-07-26,17.81,80180220539.51,4501977571,19.1557347,5.90694051,-9.044912744407839
2024-07-29,17.57,79099745922.47,4501977571,18.89760015,5.82734108,-8.923027339654448
2024-07-30,17.57,79099745922.47,4501977571,18.89760015,5.82734108,-8.923027339654448
2024-07-31,18.13,81620853362.23,4501977571,19.4999141,6.01307307,-9.20742661741236
2024-08-01,17.89,80540378745.19,4501977571,19.24177955,5.93347365,-9.085541212658969
2024-08-02,17.85,80360299642.35,4501977571,19.19875713,5.92020708,-9.065226978533405
2024-08-05,18.27,82251130222.17,4501977571,19.65049259,6.05950607,-9.278526436851836
2024-08-06,18.83,84772239281.31,4501977657,20.25280692,6.24523817,-9.562925897287604
2024-08-07,19.07,85852713918.99,4501977657,20.51094148,6.3248376,-9.684811304369337
2024-08-08,18.95,85312476600.15,4501977657,20.3818742,6.28503789,-9.62386860082847
2024-08-09,18.67,84051922856.19,4501977657,20.08071722,6.19217189,-9.481668959233115
2024-08-12,18.67,84051922856.19,4501977657,20.08071722,6.19217189,-9.481668959233115
2024-08-13,18.57,83601725090.49,4501977657,19.97316116,6.15900546,-9.430883372949062
2024-08-14,18.87,84952318387.59,4501977657,20.29582935,6.25850475,-9.583240131801226
2024-08-15,19.8,89139157608.6,4501977657,21.29610075,6.56695251,-10.055546084242941
2024-08-16,19.18,86347931461.26,4501977657,20.62925315,6.36132067,-9.740675449281797
2024-08-19,18.93,85222437047.01,4501977657,20.36036299,6.2784046,-9.613711483571658
2024-08-20,18.61,83781804196.77,4501977657,20.01618358,6.17227204,-9.451197607462683
2024-08-21,18.75,84412081068.75,4501977657,20.16676207,6.21870503,-9.522297428260359
2024-08-22,18.24,82116072463.68,4501977657,19.61822614,6.04955626,-9.263290938211677
2024-08-23,18.32,82476230676.24,4501977657,19.704271,6.0760894,-9.303919407238922
2024-08-26,18.19,81890973580.83,4501977657,19.56444811,6.03297304,-9.23789814506965
2024-08-27,18.02,81125637379.14,4501977657,19.3816028,5.97659012,-9.151562648386756
2024-08-28,18.04,81215676932.28,4501977657,19.40311401,5.9832234,-9.161719765643568
2024-08-29,18.83,84772246888.63,4501978061,20.25280874,6.24523873,-9.562926755448697
2024-08-30,19.01,85582602939.61,4501978061,20.44640967,6.30493831,-9.654340818963341
2024-09-02,18.21,81981020490.81,4501978061,-29.01168095,6.03960687,-9.248056092231584
2024-09-03,19.0,85537583691.0,4501978089,-30.27028784,6.3016217,-9.649262319892667
2024-09-04,19.2,86437979308.8,4501978089,-30.58892245,6.36795456,-9.750833502207328
2024-09-05,19.37,87203315583.93,4501978089,-30.85976186,6.4243375,-9.837169007174788
2024-09-06,19.11,86032801280.79,4501978089,-30.44553687,6.33810478,-9.70512647016573
2024-09-09,18.96,85357504567.44,4501978089,-30.20656092,6.28835513,-9.628948083429735
2024-09-10,18.69,84141970483.41,4501978089,-29.77640419,6.19880577,-9.491826987304945
2024-09-11,19.01,85582603471.89,4501978089,-30.28621957,6.30493835,-9.654340879008402
2024-09-12,18.89,85042366101.21,4501978089,-30.0950388,6.26513863,-9.593398169619606
2024-09-13,18.6,83736792455.4,4501978089,-29.63301862,6.16895598,-9.446119955263347
2024-09-18,18.31,82431218809.59,4501978089,-29.17099844,6.07277334,-9.298841740907092
2024-09-19,18.56,83556713331.84,4501978089,-29.5692917,6.15568941,-9.425805718800417
2024-09-20,17.81,80180229765.09,4501978089,-28.37441192,5.90694119,-9.044913785120443
2024-09-23,17.43,78469478091.27,4501978089,-27.76900616,5.78090875,-8.85192853872259
2024-09-24,18.18,81845961658.02,4501978089,-28.96388594,6.02965698,-9.232820472402564
2024-09-25,18.34,82566278152.26,4501978089,-29.21879363,6.08272327,-9.314077418254291
2024-09-26,19.44,87518454050.16,4501978089,-30.97128398,6.447554,-9.87271892098492
2024-09-27,20.76,93461065127.64,4501978089,-33.0742724,6.88535087,-10.543088724261672
2024-09-30,22.83,102780162968.07,4501978229,-36.37214173,7.57189621,-12.330169264620558
