date,close_raw,total_mv,total_shares,pe_ttm,pe_static,pe_ex_post_ntm
2022-04-07,201.73,49944363025.58,247580246,106.05372334,105.40487969,40.95506560541596
2022-04-08,201.13,49795814877.98,247580246,105.73829066,105.09137685,40.83325407830919
2022-04-11,188.5,46668876371.0,247580246,99.0984328,98.49214207,38.269121432711586
2022-04-12,186.69,46220756125.74,247580246,98.14687756,97.54640851,37.90165665927282
2022-04-13,180.05,44576823292.3,247580246,94.65608926,94.07697708,36.55360909262452
2022-04-14,169.0,41841061574.0,247580246,88.84687079,88.30329979,34.31024680174142
2022-04-15,176.39,43670679591.94,247580246,92.73194993,92.16460976,35.810558777273194
2022-04-18,187.9,46520328223.4,247580246,98.78300012,98.17863923,38.147309905604814
2022-04-19,192.82,47738423033.72,247580246,101.36954808,100.74936252,39.146164427880365
2022-04-20,183.88,45525055634.48,247580246,96.66960119,96.07817021,37.33117267398943
2022-04-21,178.23,44126227244.58,247580246,93.69927681,93.12601847,36.1841141270673
2022-04-22,176.11,43601357123.06,247580246,92.58474801,92.01830844,35.753713397956695
2022-04-25,169.0,41841061574.0,247580246,88.84687079,88.30329979,34.31024680174142
2022-04-26,173.55,42967551693.3,247580246,80.74504642,90.68069632,35.233984215634464
2022-04-27,193.5,47906777601.0,247580246,90.0268884,101.10466574,39.284217491934704
2022-04-28,189.0,46792666494.0,247580246,87.93323983,98.75339444,38.3706310386339
2022-04-29,193.0,47782987478.0,247580246,89.79426078,100.84341337,39.182707886012395
2022-05-05,194.31,48107317600.26,247580246,90.40374514,101.52789457,39.448663053528854
2022-05-06,184.4,45653797362.4,247580246,85.79306574,96.34987267,37.43674266414863
2022-05-09,188.46,46658973161.16,247580246,87.682002,98.47124188,38.261000664237805
2022-05-10,201.48,49882467964.08,247580246,93.73962519,105.2742535,40.90431080245481
2022-05-11,208.5,51620481291.0,247580246,97.00571696,108.94223672,42.32950566960407
2022-05-12,208.99,51741795611.54,247580246,97.23369202,109.19826404,42.42898508340793
2022-05-13,206.3,51075804749.8,247580246,95.98215543,107.79272631,41.8828634035459
2022-05-16,201.72,49941887223.12,247580246,93.85128645,105.39965464,40.95303541329752
2022-05-17,207.34,51333288205.64,247580246,96.46602088,108.33613123,42.0940033838643
2022-05-18,215.03,53237180297.38,247580246,100.04383365,112.35419263,43.655221122949456
2022-05-19,227.0,56200715842.0,247580246,105.61293884,118.60857428,46.085361088729606
2022-05-20,231.17,57233125467.82,247580246,107.55305318,120.78741901,46.93195120212169
2022-05-23,243.0,60161999778.0,247580246,113.05702264,126.96864999,49.33366847824359
2022-05-24,237.55,58812687437.3,247580246,110.5213816,124.1209992,48.22721377369039
2022-05-25,234.28,58003100032.88,247580246,108.99999697,122.41240873,47.56334095095846
2022-05-26,157.9,58639381265.1,371370369,110.19570293,123.75524589,48.08510032539915
2022-05-27,156.68,58186309414.92,371370369,109.34428585,122.79906223,47.713575167723484
2022-05-30,161.2,59864903482.8,371370369,112.49871635,126.34164432,49.09004542403004
2022-05-31,169.0,62761592361.0,371370369,117.94220263,132.45494969,51.465370202612135
2022-06-01,159.87,59370980892.03,371370369,111.57053216,125.29924737,48.68502209640001
2022-06-02,161.86,60110007926.34,371370369,112.95931904,126.858924,49.29103444375621
2022-06-06,167.6,62241673844.4,371370369,116.96516663,131.35768975,51.03902985773843
2022-06-07,171.0,63504333099.0,371370369,119.33796834,134.02246388,52.07442783814601
2022-06-08,167.48,62197109400.12,371370369,116.88142069,131.2636389,51.0024863996064
2022-06-09,164.05,60923309034.45,371370369,114.48768249,128.57535205,49.9579525546658
2022-06-10,164.38,61045861256.22,371370369,114.71798384,128.83399189,50.05844706452889
2022-06-13,162.62,60392249406.78,371370369,113.48971001,127.4545794,49.522476345259086
2022-06-14,143.95,53458764617.55,371370369,100.46023709,112.82183436,43.8369233175504
2022-06-15,141.79,52656604620.51,371370369,98.95281012,111.12891903,43.17914107117382
2022-06-16,147.82,54895967945.58,371370369,103.16104374,115.85497433,45.01544984230844
2022-06-17,151.03,56088066830.07,371370369,105.40124771,118.37083462,45.9929873473403
2022-06-20,181.24,67307165677.56,371370369,126.48428878,142.04813657,55.19280293207943
2022-06-21,185.21,68781506042.49,371370369,129.25488372,145.15965226,56.40178233861417
2022-06-22,197.8,73457058988.2,371370369,138.04122888,155.02715413,60.23580015429988
2022-06-23,200.6,74496896021.4,371370369,139.99530087,157.22167401,61.088480844047304
2022-06-24,204.1,75796692312.9,371370369,142.43789087,159.96482385,62.154331706231574
2022-06-27,207.53,77070492678.57,371370369,144.83162906,162.6531107,63.198865551172176
2022-06-28,213.0,79101888597.0,371370369,148.64904828,166.94026203,64.8646381843573
